entry_ts,exit_ts,direction,entry_price,entry_exec_price,exit_price,exit_exec_price,exit_candle_high,exit_candle_low,hit_stop,hit_target,stop_loss,target_price,exit_reason,quantity,gross_pnl,fees,net_pnl,rr_ratio,atr,htf_bias
2024-05-17 20:15:00+00:00,2024-05-18 14:15:00+00:00,LONG,72999.0,73013.5998,72917.01,72902.42659799999,60111.0,60111.0,True,False,72917.01,73400.0,STOP_LOSS,0.001,-0.11117320200000541,0.072958013199,-0.1841312151990054,4.890840346383393,525.7958374754363,neutral
2024-09-01 02:00:00+00:00,2024-09-01 02:15:00+00:00,SHORT,59000.0,58988.200000000004,60059.99999999999,60072.01199999999,67350.0,52525.0,True,False,60059.99999999999,52500.1,STOP_LOSS,0.001,-1.0838119999999836,0.059530106,-1.1433421059999835,6.1319811320755155,3889.576593995449,neutral
2025-03-16 11:00:00+00:00,2025-03-16 12:15:00+00:00,SHORT,81600.0,81583.68000000001,81747.2656,81763.61505312,86951.0,86951.0,True,False,81747.2656,81000.0,STOP_LOSS,0.001,-0.1799350531199889,0.08167364752656,-0.2616087006465489,4.0742712486826855,132.90000287827294,neutral
2025-04-13 05:30:00+00:00,2025-04-13 05:45:00+00:00,LONG,84719.9,84736.84397999999,84583.5318,84566.61509364,84667.9,84362.5,True,False,84583.5318,85148.2,STOP_LOSS,0.001,-0.17022888635999697,0.08465172953681999,-0.254880615896817,3.1407615558466846,313.5250846797903,neutral
2025-04-13 21:15:00+00:00,2025-04-13 21:30:00+00:00,LONG,83543.2,83559.90864,83374.0425,83357.3676915,83737.4,83102.5,True,False,83374.0425,84839.5,STOP_LOSS,0.001,-0.2025409484999982,0.08345863816575,-0.2859995866657482,7.663272394070579,517.8440519631215,neutral
2025-04-13 21:45:00+00:00,2025-04-13 22:00:00+00:00,LONG,83566.0,83582.7132,83374.0425,83357.3676915,83659.9,83322.0,True,False,83374.0425,84839.5,STOP_LOSS,0.001,-0.22534550850000232,0.08347004044575,-0.3088155489457523,6.634281025747746,526.4976774579975,neutral
2025-04-13 23:00:00+00:00,2025-04-13 23:30:00+00:00,LONG,83512.9,83529.60257999999,83374.0425,83357.3676915,83603.3,83309.2,True,False,83374.0425,84839.5,STOP_LOSS,0.001,-0.17223488849999558,0.08344348513574999,-0.2556783736357456,9.553679131483877,447.81705103604776,neutral
2025-08-16 04:00:00+00:00,2025-08-16 04:30:00+00:00,LONG,117442.0,117465.4884,117027.0558,117003.65038884,117403.8,100200.0,True,False,117027.0558,120921.6,STOP_LOSS,0.001,-0.4618380111599981,0.11723456939442001,-0.5790725805544181,8.385705837074049,1548.5564068428448,neutral
2025-08-16 05:30:00+00:00,2025-08-16 08:45:00+00:00,LONG,117609.4,117632.92188,117027.0558,117003.65038884,117687.9,100200.0,True,False,117027.0558,120921.6,STOP_LOSS,0.001,-0.6292714911599906,0.11731828613442,-0.7465897772944106,5.687701534590807,3213.6953513943904,neutral
2025-08-20 23:00:00+00:00,2025-08-21 01:45:00+00:00,SHORT,114295.9,114273.04082,114542.62819999998,114565.53672563998,114699.4,114225.7,True,False,114542.62819999998,112340.3,STOP_LOSS,0.001,-0.29249590563998207,0.11441928877281998,-0.40691519441280205,7.926130859788725,3145.639051586577,neutral
2025-08-24 09:30:00+00:00,2025-08-24 09:45:00+00:00,LONG,114996.0,115018.99919999999,114875.6094,114852.63427812001,114995.3,114827.8,True,False,114875.6094,115645.9,STOP_LOSS,0.001,-0.16636492187998375,0.11493581673906,-0.28130073861904376,5.398261990554085,155.2967149604776,bullish
2025-08-26 18:45:00+00:00,2025-08-26 19:15:00+00:00,SHORT,110711.1,110688.95778000001,110881.67089999998,110903.84723417998,111135.9,110596.3,True,False,110881.67089999998,109368.2,STOP_LOSS,0.001,-0.2148894541799673,0.11079640250709,-0.3256858566870573,7.872972470686324,363.5074445154295,bearish
2025-08-27 10:00:00+00:00,2025-08-27 11:00:00+00:00,LONG,111063.5,111085.7127,110790.7983,110768.64014034,113982.2,108422.0,True,True,110790.7983,111773.8,STOP_LOSS,0.001,-0.3170725596600096,0.11092717642017,-0.4279997360801796,2.604677565266332,203.05183353900986,neutral
2025-08-28 21:00:00+00:00,2025-08-28 21:30:00+00:00,LONG,112087.5,112109.9175,111899.78820000001,111877.40824236002,111945.2,111881.0,True,False,111899.78820000001,113432.7,STOP_LOSS,0.001,-0.23250925763997657,0.11199366287118001,-0.3445029205111566,7.166304941937952,292.5607084125233,neutral
2025-09-02 16:15:00+00:00,2025-09-02 17:00:00+00:00,SHORT,110477.5,110455.4045,110782.57189999998,110804.72841437998,110909.4,110596.0,True,False,110782.57189999998,107427.3,STOP_LOSS,0.001,-0.34932391437997284,0.11063006645719,-0.4599539808371628,9.998298761702369,1198.573418367152,neutral
2025-09-02 18:00:00+00:00,2025-09-02 18:45:00+00:00,SHORT,110509.9,110487.79802,110782.57189999998,110804.72841437998,110796.5,110158.0,True,False,110782.57189999998,107427.3,STOP_LOSS,0.001,-0.31693039437997506,0.11064626321718998,-0.427576657597165,11.305161991390174,840.8228474585129,neutral
2025-09-04 23:30:00+00:00,2025-09-05 01:45:00+00:00,SHORT,110772.0,110749.8456,111062.95199999999,111085.16459039999,111109.4,110412.9,True,False,111062.95199999999,110158.0,STOP_LOSS,0.001,-0.33531899039998825,0.11091750509520001,-0.4462364954951883,2.110313728725084,387.8213033847392,bearish
2025-09-07 09:30:00+00:00,2025-09-07 09:45:00+00:00,SHORT,110963.9,110941.70722,111126.61559999999,111148.84092311999,111133.8,110877.9,True,False,111126.61559999999,109994.0,STOP_LOSS,0.001,-0.2071337031199946,0.11104527407156001,-0.31817897719155463,5.960706902104153,185.02015905643177,neutral
2025-09-09 03:15:00+00:00,2025-09-09 03:30:00+00:00,LONG,111528.1,111550.40562,111400.7877,111378.50754246,111646.0,111072.3,True,False,111400.7877,113177.7,STOP_LOSS,0.001,-0.17189807753999775,0.11146445658123003,-0.2833625341212278,12.957114120159057,406.52798157542736,neutral
2025-09-20 13:00:00+00:00,2025-09-20 17:30:00+00:00,SHORT,115858.0,115834.8284,116556.43999999999,116579.75128799998,122317.0,115644.1,True,False,116556.43999999999,110000.0,STOP_LOSS,0.001,-0.7449228879999864,0.116207289844,-0.8611301778439864,8.387263043353906,2280.8225462870355,neutral
2025-09-29 12:30:00+00:00,2025-09-29 13:30:00+00:00,SHORT,112119.1,112096.67618000001,112435.02269999999,112457.50970453999,117745.0,111968.1,True,False,112435.02269999999,109192.2,STOP_LOSS,0.001,-0.3608335245399794,0.11227709294227001,-0.4731106174822494,9.2646080829272,406.64779010957204,neutral
2025-10-03 13:30:00+00:00,2025-10-03 13:45:00+00:00,SHORT,120345.3,120321.23094000001,120646.22569999998,120670.35494513997,120653.7,120206.9,True,False,120646.22569999998,119273.3,STOP_LOSS,0.001,-0.34912400513996544,0.12049579294256998,-0.4696197980825354,3.562341136034837,316.28734299844064,bearish
2025-10-09 09:00:00+00:00,2025-10-09 12:30:00+00:00,LONG,121601.9,121626.22037999998,123519.3,123494.59614000001,123752.6,122943.6,False,True,121379.499,123519.3,TAKE_PROFIT,0.001,1.8683757600000246,0.12256040826,1.7458153517400246,8.621364112571552,273.42726085015784,neutral
2025-10-09 15:45:00+00:00,2025-10-09 16:30:00+00:00,LONG,121166.1,121190.33322,121037.44140000001,121013.23391172002,121312.5,120677.6,True,False,121037.44140000001,123752.6,STOP_LOSS,0.001,-0.17709930827998324,0.12110178356586002,-0.29820109184584326,20.103591986855886,434.35254317009634,neutral
2025-10-10 13:45:00+00:00,2025-10-10 14:00:00+00:00,SHORT,121685.2,121660.86296,121897.77599999998,121922.15555519998,122010.2,121546.2,True,False,121897.77599999998,120905.5,STOP_LOSS,0.001,-0.26129259519997866,0.12179150925759999,-0.3830841044575787,3.6678646695772197,289.16141361559835,bearish
2025-10-11 08:30:00+00:00,2025-10-11 19:45:00+00:00,LONG,111329.0,111351.2658,111076.0128,111053.79759744,111279.2,110962.4,True,False,111076.0128,113420.6,STOP_LOSS,0.001,-0.29746820255999046,0.11120253169872,-0.4086707342587105,8.267611958233378,639.3102709351529,neutral
2025-10-17 17:15:00+00:00,2025-10-17 17:30:00+00:00,SHORT,106193.1,106171.86138,106466.66029999999,106487.95363205999,106480.5,106165.0,True,False,106466.66029999999,104629.1,STOP_LOSS,0.001,-0.3160922520599852,0.10632990750603,-0.4224221595660152,5.717203848658223,561.6913998368303,neutral
2025-10-22 07:15:00+00:00,2025-10-22 10:45:00+00:00,LONG,108002.9,108024.50057999999,107780.112,107758.5559776,107848.6,107680.0,True,False,107780.112,108606.9,STOP_LOSS,0.001,-0.26594460239999174,0.1078915282788,-0.37383613067879173,2.7110975456487725,281.5207678020451,neutral
2025-10-22 14:00:00+00:00,2025-10-22 14:45:00+00:00,SHORT,108163.2,108141.56736,108464.05569999998,108485.74851113999,108912.2,107742.6,True,False,108464.05569999998,107053.8,STOP_LOSS,0.001,-0.3441811511399865,0.10831365793556999,-0.4524948090755565,3.687482071970209,429.9240977500923,neutral
2025-10-23 12:15:00+00:00,2025-10-23 12:30:00+00:00,LONG,109123.4,109145.22467999998,109013.3775,108991.5748245,109117.0,108848.5,True,False,109013.3775,110246.1,STOP_LOSS,0.001,-0.15364985549998528,0.10906839975225,-0.26271825525223524,10.204276398010359,276.4233363332361,neutral
2025-10-23 14:15:00+00:00,2025-10-23 16:45:00+00:00,LONG,109289.6,109311.45792,110246.1,110224.05078,110527.5,109816.9,False,True,109013.3775,110246.1,TAKE_PROFIT,0.001,0.9125928600000043,0.10976775435000001,0.8028251056500043,3.4627881508566025,342.6938192558568,neutral
